videoId,viewCount,likeCount,commentCount
_S7BC7wmteE,0,0,0
ivH26SLXld8,402473,15304,508
J5CFkWwgVXM,8072,579,112
JLEVJ1BLqKk,339366,16040,982
x89mL_cUXEA,99345,4545,403
By5KOsk1pZU,5713,185,21
iwQMtiDJJak,1421,24,1
kAGqDu5YamQ,4292,315,51
bcH9Tq_FG-U,859767,32538,1459
KrM0HWGBXBo,34443,1289,134
E_7W58FOAwo,90508,4130,119
jF5QiD7uxdc,557875,19902,515
ATzBxKmm6uw,235380,9525,556
XokyThIFd-4,197195,7656,374
9284aKGiRzo,874284,43950,905
YZ5tOe7y9x4,12965783,437426,15461
thiXwFtNPxo,2184,48,0
323ziN0K3rY,130133,4818,209
eNIHhsZykWw,8211,446,80
4vFtxpdPlzw,3958,86,1
L3F7KPoE3sc,125683,5677,362
zs8c3R7DzFs,5673,96,1
hQ9jY_4leJA,4367,261,78
qgqavVx8zTI,8071,190,7
tcxRMLTcZlg,5918,103,2
MGaV-Wwx_DI,35766,1622,204
tkEUvMeYSIU,142332,6225,211
l2cxqbtPeYI,28709,794,121
GwT6gGMRr9s,4221518,191299,3929
Bj-4OkHIg1o,1632,45,1
MsgscYHK0SQ,156427,8760,302
TIo_ETd9jGI,72032,3966,226
XeWOWvSZyRM,136139,8065,667
eYfYZQZ-juk,47106,2417,236
gBdI_OSZ1Es,210366,8604,451
xTUbDMs1ML4,322419,13366,344
FB4hsf5wr88,222723,12314,646
8nENuCpD6vk,28206,1243,118
NdpnOZt-PmE,241350,10515,656
GVFqra7RA1A,37270,1614,156
t_T0yn-R6uo,100302,5617,377
Ye8gnDR0KMw,5434,276,48
LQZWeBzhoYg,122104,5150,282
G2YfRcQHSQ8,209,,0
WrD02VBXpEg,295179,8082,474
dNlilzQ148o,1956,73,4
IYTfNhZcry0,897,44,3
fIFsBCxlqWY,319991,16103,1065
1JDrsOiNPBs,45463,1656,135
sPZ_EqJOjY8,50,20,0
